Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price,Owned,Captained
1000694,23044,Stones,John,MCI,expected,defender,5.5,3.08,0.09
1000694,23059,Coleman,Seamus,EVE,expected,defender,4,1.27,0.00
1000694,23076,Maguire,Harry,MUN,unexpected,defender,4.5,1.21,0.03
1000694,23117,Milner,James,BHA,unexpected,midfielder,4.5,0.72,0.00
1000694,23120,Gomez,Joe,LIV,unexpected,defender,5,0.36,0.00
1000694,23148,Zinchenko,Oleksandr,NTG,suspended,defender,5.5,1.94,0.00
1000694,23153,Sterling,Raheem,CHE,unexpected,midfielder,5.5,0.75,0.00
1000694,23188,Shaw,Luke,MUN,expected,defender,5,1.62,0.02
1000694,23238,van Dijk,Virgil,LIV,expected,defender,6,31.10,3.92
1000694,23260,Walker,Kyle,BUR,expected,defender,4.5,1.99,0.02
1000694,23287,Tarkowski,James,EVE,expected,defender,4.4,6.66,0.04
1000694,23326,Iwobi,Alex,FUL,expected,midfielder,6.5,1.83,0.00
1000694,23331,Welbeck,Danny,BHA,expected,forward,5.9,6.21,0.02
1000694,23346,Ake,Nathan,MCI,unexpected,defender,5,0.56,0.00
1000694,23404,Ward-Prowse,James,WHU,expected,midfielder,5,2.31,0.01
1000694,23433,Pickford,Jordan,EVE,expected,goalkeeper,5.6,17.47,0.31
1000694,23490,Davies,Ben,TOT,unexpected,defender,4.5,0.06,0.00
1000694,24087,Pope,Nick,NEW,expected,goalkeeper,5.5,11.86,0.04
1000694,32948,Wan-Bissaka,Aaron,WHU,possible,defender,4.9,7.41,0.01
1000694,32973,Rice,Declan,ARS,expected,midfielder,6.5,7.80,0.58
1000694,32986,Jesus,Gabriel,ARS,injured,forward,6.5,0.66,0.01
1000694,45008,Dunk,Lewis,BHA,expected,defender,4.5,2.88,0.02
1000694,45018,March,Solly,BHA,injured,midfielder,5.5,0.61,0.00
1000694,45036,Hughes,Will,CRY,expected,midfielder,4.5,1.30,0.00
1000694,45039,Barnes,Harvey,NEW,expected,midfielder,6.5,2.08,0.04
1000694,45072,Lascelles,Jamaal,NEW,unexpected,defender,4.5,0.10,0.00
1000694,45081,Silva,Bernardo,MCI,expected,midfielder,6,4.63,0.03
1000694,45106,Salah,Mohamed,LIV,expected,midfielder,13.5,22.79,11.80
1000694,45120,Robertson,Andrew,LIV,unexpected,defender,5.5,2.74,0.02
1000694,45474,Richarlison,Richarlison,TOT,expected,forward,7.1,4.14,0.31
1000694,46637,Walker-Peters,Kyle,WHU,expected,defender,4.5,0.55,0.00
1000694,55898,Foden,Phil,MCI,possible,midfielder,9,5.74,0.30
1000694,57345,Wood,Chris,NTG,expected,forward,7.5,9.61,1.33
1000694,69539,Hudson-Odoi,Callum,NTG,expected,midfielder,6,6.25,0.03
1000694,76982,Nketiah,Eddie,CRY,injured,forward,5.5,2.19,0.00
1000694,77164,Nelson,Reiss,BRE,unexpected,midfielder,5.5,0.48,0.00
1000694,77662,Dubravka,Martin,BUR,expected,goalkeeper,5,3.14,0.00
1000694,84632,Willock,Joe,NEW,unexpected,midfielder,4.5,0.26,0.00
1000694,88449,Diop,Issa,FUL,unexpected,defender,4,0.81,0.00
1000694,88472,Leno,Bernd,FUL,expected,goalkeeper,4.5,4.97,0.00
1000694,88492,Maddison,James,TOT,injured,midfielder,6.5,0.94,0.00
1000694,88528,Jimenez,Raul,FUL,possible,forward,6,11.78,0.01
1000694,88531,Gibbs-White,Morgan,NTG,expected,midfielder,7,5.92,0.26
1000694,88556,Boly,Willy,NTG,unexpected,defender,4,0.72,0.00
1000694,90433,Bissouma,Yves,TOT,injured,midfielder,4.5,0.54,0.00
1000694,90826,Alisson,Becker,LIV,expected,goalkeeper,6,23.29,0.54
1000694,91161,Schar,Fabian,NEW,expected,defender,5.5,10.04,0.05
1000694,91483,Digne,Lucas,AV,expected,defender,5,1.42,0.00
1000694,92389,Kovacic,Mateo,MCI,injured,midfielder,6,0.74,0.00
1000694,92390,Arrizabalaga,Kepa,ARS,unexpected,goalkeeper,5.5,2.25,0.01
1000694,92423,Burn,Dan,NEW,expected,defender,5,6.27,0.14
1000694,95817,Longstaff,Sean,LEE,expected,midfielder,4.5,1.20,0.00
1000694,96761,McNeil,Dwight,EVE,unexpected,midfielder,6,3.19,0.00
1000694,106430,Saka,Bukayo,ARS,injured,midfielder,10,23.39,4.46
1000694,106466,Kilman,Max,WHU,expected,defender,4.4,0.64,0.00
1000694,110910,Tielemans,Youri,AV,expected,midfielder,6,6.74,0.04
1000694,131313,Martinez,Emiliano,AV,expected,goalkeeper,5,4.82,0.14
1000694,131314,Mings,Tyrone,AV,expected,defender,5,0.92,0.01
1000694,131333,McGinn,John,AV,expected,midfielder,5.5,3.75,0.04
1000694,131338,Grealish,Jack,EVE,expected,midfielder,6,4.21,0.11
1000694,132424,Trossard,Leandro,ARS,unexpected,midfielder,7.5,1.26,0.03
1000694,132974,Rodri,Rodri,MCI,expected,midfielder,6,2.38,0.10
1000694,134708,Konsa,Ezri,AV,expected,defender,5,4.32,0.02
1000694,137292,Justin,James,LEE,unexpected,defender,4.5,0.00,0.00
1000694,137599,Joelinton,Joelinton,NEW,possible,midfielder,5.5,3.57,0.00
1000694,137863,Henderson,Dean,CRY,expected,goalkeeper,5,7.75,0.02
1000694,139207,Neto,Pedro,CHE,expected,midfielder,7,5.45,0.17
1000694,139208,Webster,Adam,BHA,injured,defender,4.5,0.05,0.00
1000694,139802,Mount,Mason,MUN,possible,midfielder,5.5,0.86,0.00
1000694,139838,Krafth,Emil,NEW,unexpected,defender,4.5,0.02,0.00
1000694,140008,Martinelli,Gabriel,ARS,possible,midfielder,7.5,4.18,0.08
1000694,140028,Kelleher,Caoimhin,BRE,expected,goalkeeper,4.5,8.30,0.01
1000694,140080,Ramsdale,Aaron,NEW,unexpected,goalkeeper,5,0.55,0.00
1000694,148332,James,Reece,CHE,possible,defender,5.5,12.47,0.15
1000694,154682,Jones,Curtis,LIV,possible,midfielder,5.5,1.04,0.00
1000694,156926,Williams,Neco,NTG,expected,defender,5,5.33,0.00
1000694,160700,Soucek,Tomas,WHU,expected,midfielder,6,1.74,0.00
1000694,160701,Fernandes,Bruno,MUN,expected,midfielder,8.4,27.34,3.97
1000694,161049,Bowen,Jarrod,WHU,expected,midfielder,8,18.44,0.84
1000694,163914,Mac Allister,Alexis,LIV,expected,midfielder,6,5.69,0.12
1000694,164449,Pedro,Joao,CHE,expected,forward,7.6,28.38,3.69
1000694,174861,Mitchell,Tyrick,CRY,expected,defender,5,1.56,0.00
1000694,176641,White,Ben,ARS,unexpected,defender,6,9.22,0.03
1000694,176648,Phillips,Kalvin,MCI,unexpected,midfielder,4.5,0.11,0.00
1000694,176811,Heaton,Tom,MUN,unexpected,goalkeeper,4,1.23,0.00
1000694,177020,Veltman,Joel,BHA,expected,defender,4.5,0.12,0.00
1000694,180321,Eze,Eberechi,ARS,expected,midfielder,7.5,13.68,0.21
1000694,181081,Magalhaes,Gabriel,ARS,expected,defender,6,20.14,0.21
1000694,181873,Cash,Matty,AV,expected,defender,5,2.14,0.01
1000694,182119,Castagne,Timothy,FUL,unexpected,defender,4.5,0.09,0.00
1000694,182529,Havertz,Kai,ARS,injured,forward,8,2.07,0.05
1000694,183114,Watkins,Ollie,AV,expected,forward,9.5,15.10,1.86
1000694,183126,Areola,Alphonse,WHU,unexpected,goalkeeper,4.5,2.08,0.00
1000694,184652,Hoever,Ki-Jana,WOL,unexpected,defender,4,2.01,0.00
1000694,185623,Murphy,Jacob,NEW,possible,midfielder,6.5,1.70,0.01
1000694,186002,Ramsey,Jacob,NEW,expected,midfielder,5.5,2.01,0.00
1000694,186737,Dias,Ruben,MCI,expected,defender,6,17.31,0.21
1000694,186823,Fofana,Wesley,CHE,unexpected,defender,5,0.36,0.00
1000694,187323,Ait Nouri,Rayan,MCI,expected,defender,6,21.58,0.06
1000694,187804,Andersen,Joachim,FUL,expected,defender,4.5,1.33,0.00
1000694,189201,Clyne,Nathaniel,CRY,unexpected,defender,4,0.38,0.00
1000694,192195,Henry,Rico,BRE,possible,defender,4.5,0.23,0.00
1000694,192197,Pinnock,Ethan,BRE,unexpected,defender,4.5,0.08,0.00
1000694,192201,Norgaard,Christian,ARS,unexpected,midfielder,5,0.35,0.00
