fpl_code,fbref_code,fotmob_id,fanteam_id,ref_name,fotmob_name,current_team,current_team_id,parent_team,parent_team_id,height_cm,preferred_foot,age,country,market_value_€m,primary_position,listed_positions,is_injured,expected_return,sample_mins,fin_skill,npxg,sot,xa,bcc,tack_w,tack_att,acc_pass,yc,s_rc,og,s_dribb,s_cross,offside,int,block,recov,clear,goal_oa,foul_w,foul_l,eltg,p60_gstart,p90_gstart,on_pens,g,sv_p_xgot,europe_mins_ratio,fac_mins_ratio,lc_mins_ratio
223094,1f44ac21,737066,1677501.0,Erling Haaland,Erling Haaland,Manchester City,8456,Manchester City,8456,194.0,left,25.0,Norway,184.20725,ST,ST,False,,16808.0,1.06294,0.66988,1.74655,0.06343,0.24862,0.17055,0.29434,10.48518,0.04116,0.00034,0.00017,0.51787,0.03709,0.21603,0.15702,0.06197,1.42966,0.5697,0.01261,0.65368,0.78779,0.00025,0.97586,0.69102,0.9,0.81158,0.0,0.95,0.836,0.58
118748,e342ad68,292462,45106.0,Mohamed Salah,Mohamed Salah,Liverpool,8650,Liverpool,8650,175.0,left,33.0,Egypt,37.22076,RW,RW,False,,19461.0,1.02925,0.48601,1.44697,0.19904,0.55827,0.31683,0.57687,25.09589,0.02324,0.00036,0.0001,1.33825,0.37502,0.45717,0.20459,0.01661,2.77013,0.14521,0.00897,0.84546,0.56604,0.00337,0.98807,0.73047,0.95,0.60529,0.0,0.95,0.7376,0.86133
219168,8e92be30,690107,2200000.0,Alexander Isak,Alexander Isak,Newcastle United,10261,Newcastle United,10261,192.0,right,25.0,Sweden,117.08194,ST,AM/ST,False,,13514.0,0.99965,0.46384,1.21359,0.09213,0.23458,0.15553,0.38207,13.35905,0.04419,0.0005,0.00022,1.20079,0.07758,0.57675,0.12573,0.07745,1.69423,0.50547,0.00861,0.68145,0.87306,0.00033,0.94136,0.30544,0.9,0.56322,0.0,0.95,0.9,0.9
216646,2500cef9,666857,242911.0,Yoane Wissa,Yoane Wissa,Brentford,9937,Brentford,9937,180.0,right,28.0,DR Congo,26.01447,ST,AM/LW/ST,False,,11373.0,1.01472,0.4304,0.97566,0.06722,0.15644,0.41294,0.7247,11.10853,0.09747,0.00048,0.00028,0.60252,0.0665,0.46654,0.25064,0.1746,2.68591,0.52498,0.0079,1.4073,0.97303,0.00037,0.98635,0.51192,0.7,0.51416,0.0,0.7,0.648,0.84
60689,4e9a0555,169719,57345.0,Chris Wood,Chris Wood,Nottingham Forest,10203,Nottingham Forest,10203,191.0,right,33.0,New Zealand,7.30739,ST,ST,False,,11745.0,1.02031,0.34689,0.89371,0.04403,0.12369,0.19222,0.30168,10.079,0.0296,0.00058,0.00019,0.21906,0.03486,0.69736,0.1116,0.15927,1.67129,0.82324,0.00628,0.75028,0.82586,0.00033,0.98323,0.50702,0.88,0.45126,0.0,0.7,0.9,0.9
231747,50e6dc35,706297,201968.0,Jean-Philippe Mateta,Jean-Philippe Mateta,Crystal Palace,9826,Crystal Palace,9826,192.0,right,28.0,France,31.92556,ST,ST,False,,9106.0,1.04992,0.34423,0.86727,0.05817,0.15867,0.35793,0.59538,8.70969,0.06519,0.00061,0.00029,0.63238,0.13835,0.6851,0.13362,0.12133,2.20806,0.73224,0.00628,0.81221,0.87168,0.00039,0.87413,0.38899,0.8,0.44989,0.0,0.7,0.9,0.9
224117,4d5a9185,664500,4329253.0,Viktor Gyökeres,Viktor Gyökeres,Arsenal,9825,Arsenal,9825,187.0,right,27.0,Sweden,79.94881,ST,ST/LW,False,,15897.0,1.11245,0.38515,1.17339,0.09373,0.30286,0.23804,0.41905,11.89331,0.07731,0.00117,0.00017,1.20698,0.11101,0.38588,0.1511,0.09916,2.45937,0.55389,0.00867,1.87049,1.05217,0.00028,0.97742,0.85207,0.15,0.44505,0.0,0.95,0.584,0.52
178301,aed3a70f,540088,183114.0,Ollie Watkins,Ollie Watkins,Aston Villa,10252,Aston Villa,10252,180.0,right,29.0,England,63.53191,ST,ST,False,,17325.0,0.98264,0.39737,1.08544,0.06756,0.21321,0.28037,0.4249,11.97921,0.05668,0.00038,0.00012,0.64336,0.05046,0.52239,0.22394,0.08834,1.65252,0.57271,0.00743,1.10963,0.88105,0.0062,0.95654,0.63797,0.45,0.44024,0.0,0.95,0.836,0.58
517052,9c36ed83,1197347,3590554.0,Nicolas Jackson,Nicolas Jackson,Chelsea,8455,Chelsea,8455,186.0,right,24.0,Senegal,65.16481,ST,ST,False,,8097.0,0.9486,0.45683,1.1064,0.07576,0.21679,0.49593,0.76158,12.86526,0.14895,0.00084,0.00019,1.02073,0.04927,0.71715,0.16493,0.07917,2.20021,0.44675,0.00834,1.13192,1.1575,0.0004,0.90617,0.29783,0.0,0.43335,0.0,0.95,0.8132,0.87933
154566,e77dc3b2,591734,230753.0,Dominic Solanke-Mitchell,Dominic Solanke,Tottenham Hotspur,8586,Tottenham Hotspur,8586,187.0,right,27.0,England,47.42101,ST,ST,False,,17615.0,0.93446,0.36897,0.87485,0.0578,0.14149,0.32701,0.62408,10.19197,0.03494,0.00048,0.00975,0.82435,0.05339,0.31256,0.13287,0.20282,2.03487,0.94106,0.00724,1.39505,1.31109,0.00046,0.98373,0.67188,0.8,0.43327,0.0,0.92421,0.6676,0.84467
