fotmob_team_id,fotmob_team_name,fbref_team_code,fpl_team_code,fpl_team_name,fpl_short_team_name,npxg_f,npxg_a,sot_f,sot_a,xa_f,xa_a,tack_w_f,tack_w_a,tack_att_f,tack_att_a,acc_pass_f,acc_pass_a,yc_f,yc_a,s_rc_f,s_rc_a,og_f,og_a,s_dribb_f,s_dribb_a,s_cross_f,s_cross_a,offside_f,offside_a,int_f,int_a,block_f,block_a,recov_f,recov_a,clear_f,clear_a,foul_w_f,foul_w_a,foul_l_f,foul_l_a,eltg_f,eltg_a,pen_f,pen_a,elev_g_f,elev_g_a,g_f,g_a,bcc_f,bcc_a,gd
8650,Liverpool,822bd0ba,14,Liverpool,LIV,1.987,1.039,6.049,3.61,1.375,0.691,9.537,9.78,15.634,16.049,426.341,285.439,1.756,2.048,0.035,0.033,0.036,0.061,7.78,8.171,4.439,2.854,1.537,2.39,7.61,8.488,2.683,4.634,40.634,40.463,18.585,26.561,9.488,10.732,11.195,9.902,0.132,0.27,0.166,0.099,2.12,1.13,2.119,1.117,3.438,1.728,1.002
9825,Arsenal,18bb7c10,3,Arsenal,ARS,1.682,0.822,4.805,3.195,1.168,0.601,8.488,10.22,14.585,16.976,398.634,282.683,1.683,2.024,0.039,0.032,0.02,0.057,8.366,6.634,4.805,3.268,2.0,0.976,5.878,6.756,2.927,4.707,36.585,34.293,16.39,25.073,10.317,10.244,10.659,10.805,0.082,0.236,0.141,0.097,1.82,0.89,1.794,0.898,2.921,1.502,0.896
8456,Manchester City,b8fd03ef,43,Man City,MCI,1.85,1.085,5.561,3.585,1.356,0.753,7.293,9.707,12.122,16.951,512.659,286.537,1.415,2.195,0.025,0.035,0.037,0.057,10.024,6.244,4.171,3.756,1.098,2.22,6.098,8.049,2.341,4.39,36.366,34.268,14.902,22.854,10.22,7.293,7.634,10.439,0.141,0.25,0.151,0.102,1.99,1.14,1.97,1.166,3.391,1.882,0.804
8455,Chelsea,cff3d9bb,8,Chelsea,CHE,1.686,1.102,5.707,4.098,1.142,0.753,9.049,8.927,14.341,15.366,431.902,294.439,2.439,2.415,0.04,0.038,0.027,0.062,8.537,6.707,3.902,3.439,1.707,2.268,7.39,7.463,2.756,4.61,39.829,37.463,16.415,21.78,11.512,10.854,11.317,12.0,0.143,0.231,0.151,0.104,1.79,1.18,1.805,1.184,2.856,1.883,0.621
10261,Newcastle United,b2b47a98,4,Newcastle,NEW,1.545,1.18,4.463,4.268,1.08,0.808,9.049,10.537,14.707,17.927,359.537,332.634,1.683,2.317,0.034,0.046,0.039,0.054,7.244,7.756,4.488,3.902,1.756,1.122,7.244,7.951,3.537,3.976,41.878,41.439,19.854,21.78,11.756,10.195,10.61,12.22,0.145,0.225,0.135,0.113,1.65,1.28,1.652,1.269,2.7,2.02,0.383
8678,Bournemouth,4ba7cbea,91,Bournemouth,BOU,1.427,1.264,5.244,4.537,0.973,0.903,9.732,9.585,16.829,15.78,295.22,320.293,2.463,2.293,0.05,0.046,0.031,0.045,7.78,8.463,5.122,3.927,1.878,1.171,9.195,7.22,3.439,4.22,45.878,42.317,25.317,24.927,10.488,13.146,13.634,10.878,0.134,0.226,0.138,0.114,1.5,1.37,1.536,1.354,2.433,2.258,0.182
9826,Crystal Palace,47c64c55,31,Crystal Palace,CRY,1.428,1.304,4.829,3.976,0.97,0.905,10.951,7.756,18.659,14.122,272.39,408.683,2.024,2.049,0.034,0.033,0.047,0.05,5.439,8.366,3.732,4.61,1.902,1.195,8.732,8.976,3.805,3.659,43.439,43.439,26.78,20.805,10.463,10.439,11.073,10.78,0.162,0.207,0.13,0.122,1.51,1.4,1.531,1.4,2.425,2.263,0.131
10204,Brighton and Hove Albion,d07537b9,36,Brighton,BHA,1.469,1.373,5.024,3.829,1.015,0.881,10.512,9.878,17.195,17.634,364.902,326.39,1.951,2.244,0.033,0.035,0.044,0.051,8.683,9.268,4.951,3.049,1.366,2.195,8.22,8.268,3.049,3.732,40.732,38.659,18.512,23.415,10.78,11.22,11.829,11.268,0.169,0.187,0.125,0.114,1.58,1.48,1.568,1.462,2.538,2.202,0.106
10252,Aston Villa,8602292d,7,Aston Villa,AVL,1.347,1.332,4.366,4.122,0.947,0.929,9.0,9.39,15.439,16.659,346.415,336.39,1.78,2.585,0.035,0.04,0.033,0.048,8.537,6.122,3.366,4.122,1.39,2.366,6.39,9.244,2.878,3.537,36.39,39.537,18.293,21.463,12.854,10.195,10.537,13.317,0.184,0.188,0.12,0.112,1.44,1.43,1.442,1.421,2.368,2.324,0.021
10260,Manchester United,19538871,1,Man Utd,MUN,1.38,1.374,4.659,3.951,0.955,0.909,11.976,10.098,19.878,16.463,393.878,327.805,2.146,1.902,0.041,0.036,0.044,0.059,6.512,8.195,4.268,3.707,1.756,1.512,9.024,8.439,2.854,4.366,43.976,42.39,18.366,21.244,9.854,10.024,10.537,10.317,0.178,0.172,0.127,0.115,1.48,1.46,1.48,1.465,2.387,2.273,0.015
8586,Tottenham Hotspur,361ca564,6,Spurs,TOT,1.496,1.495,4.805,4.878,0.99,1.017,9.994,12.331,16.14,19.543,379.854,301.488,1.854,2.049,0.027,0.042,0.057,0.052,8.171,7.854,4.561,5.049,1.61,2.293,8.122,10.073,4.122,3.439,42.317,42.366,19.537,21.463,12.341,11.463,11.927,12.683,0.19,0.224,0.127,0.136,1.6,1.57,1.597,1.603,2.474,2.544,-0.006
9879,Fulham,fd962109,54,Fulham,FUL,1.204,1.28,4.439,4.293,0.884,0.837,9.976,7.463,16.512,13.049,370.61,345.634,2.0,1.732,0.039,0.033,0.046,0.039,7.268,7.049,6.268,4.049,1.171,2.195,7.756,8.976,2.951,3.829,40.244,40.049,22.22,23.927,9.512,11.366,11.61,9.951,0.155,0.176,0.113,0.108,1.29,1.39,1.294,1.366,2.209,2.093,-0.072
9937,Brentford,cd051869,94,Brentford,BRE,1.346,1.44,4.707,5.341,0.95,1.045,9.171,8.805,15.341,14.439,294.171,353.756,1.585,2.049,0.028,0.033,0.05,0.043,7.0,7.341,4.341,4.659,1.634,1.463,7.439,7.512,5.171,2.756,41.951,42.39,25.756,25.293,8.78,8.39,8.732,9.293,0.175,0.202,0.119,0.141,1.42,1.55,1.44,1.552,2.375,2.613,-0.112
8668,Everton,d3fd31cc,11,Everton,EVE,1.054,1.244,3.707,4.415,0.731,0.88,10.561,10.317,17.829,16.902,254.073,421.268,1.976,1.122,0.033,0.02,0.031,0.044,7.463,8.146,4.707,4.561,2.049,1.463,9.024,6.293,3.805,2.707,38.854,39.707,26.463,22.39,10.073,10.585,11.098,10.512,0.161,0.154,0.099,0.119,1.12,1.34,1.132,1.338,1.828,2.2,-0.206
10203,Nottingham Forest,e4a775cb,17,Nott'm Forest,NFO,1.119,1.324,4.268,4.659,0.783,0.926,10.195,8.878,17.0,13.537,267.537,390.585,2.122,2.512,0.031,0.034,0.033,0.037,6.829,8.415,3.951,5.341,2.317,0.927,8.463,6.878,3.902,3.171,41.341,39.341,28.854,21.78,10.732,10.146,10.537,11.366,0.144,0.181,0.106,0.12,1.19,1.44,1.202,1.419,1.958,2.315,-0.217
8654,West Ham United,7c21e445,21,West Ham,WHU,1.185,1.501,3.951,4.927,0.823,1.079,9.415,10.61,15.902,18.341,345.488,371.293,1.927,1.39,0.033,0.024,0.047,0.048,8.878,6.146,4.244,5.366,1.878,1.39,8.488,7.707,4.293,3.732,39.634,40.073,25.146,19.854,10.39,10.878,11.317,10.78,0.171,0.155,0.111,0.135,1.27,1.6,1.273,1.608,2.057,2.698,-0.335
8602,Wolverhampton Wanderers,8cec06e1,39,Wolves,WOL,1.075,1.506,4.098,4.537,0.712,1.007,11.439,10.293,19.488,16.683,336.707,371.61,1.927,2.024,0.033,0.037,0.052,0.035,8.024,7.976,3.585,4.293,1.707,1.927,7.878,8.22,3.659,2.927,41.756,40.659,22.707,19.561,10.854,12.341,12.683,11.488,0.176,0.181,0.102,0.123,1.14,1.63,1.156,1.604,1.781,2.517,-0.448
8463,Leeds United,5bfb9659,2,Leeds,LEE,0.996,1.572,4.363,3.91,0.737,1.121,9.562,10.712,15.797,18.68,311.892,372.193,1.652,1.669,0.024,0.03,0.053,0.044,7.648,8.038,4.204,3.2,2.269,1.221,8.176,7.11,2.492,4.253,39.667,38.773,21.605,23.473,9.527,8.231,8.625,9.857,0.167,0.133,0.107,0.117,1.06,1.67,1.081,1.664,1.842,2.803,-0.583
8191,Burnley,943e8050,90,Burnley,BUR,0.783,1.774,3.22,4.343,0.548,1.496,9.748,10.954,16.097,18.403,271.58,416.71,1.809,1.863,0.035,0.029,0.048,0.03,7.163,7.115,3.342,4.939,1.495,2.459,7.897,6.4,4.24,2.829,38.853,40.673,25.762,22.819,9.176,9.233,9.616,9.518,0.172,0.112,0.075,0.153,0.86,1.82,0.842,1.895,1.371,3.74,-1.053
8472,Sunderland,8ef52968,56,Sunderland,SUN,0.824,1.948,3.235,5.488,0.536,1.657,10.479,12.192,17.645,20.666,226.01,490.878,2.359,2.049,0.047,0.031,0.061,0.034,8.535,9.027,3.759,5.135,1.674,1.273,8.252,5.56,5.034,3.589,40.522,42.543,31.027,20.71,9.696,8.665,8.991,10.242,0.197,0.12,0.078,0.178,0.92,1.94,0.886,2.088,1.34,4.143,-1.202
