fpl_code,team,player,pos,cost,2025-10-18,2025-10-19,2025-10-20,2025-10-24,2025-10-25,2025-10-26,2025-11-01,2025-11-02,2025-11-03,2025-11-08,2025-11-09,2025-11-22,2025-11-23,2025-11-24,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-27,total_pts,ppm
223094,MCI,Haaland,F,11.8,7.45,0.0,0.0,0.0,0.0,6.69,0.0,7.07,0.0,0.0,6.21,6.02,0.0,0.0,7.5,0.0,6.17,0.0,0.0,8.94,0.0,0.0,0.0,6.17,0.0,7.96,0.0,0.0,6.69,76.87,6.51
97032,LIV,Virgil,D,10.0,0.0,5.71,0.0,0.0,5.44,0.0,5.51,0.0,0.0,0.0,3.54,6.32,0.0,0.0,0.0,5.61,0.0,7.45,0.0,5.73,0.0,0.0,5.07,0.0,0.0,4.56,0.0,0.0,6.42,61.35,6.13
462424,ARS,Saliba,D,10.0,5.66,0.0,0.0,0.0,0.0,5.91,6.82,0.0,0.0,7.02,0.0,0.0,4.89,0.0,0.0,3.88,0.0,5.43,0.0,4.61,0.0,0.0,5.67,0.0,0.0,0.0,5.56,0.0,4.88,60.35,6.03
226597,ARS,Gabriel,D,10.0,5.49,0.0,0.0,0.0,0.0,5.93,6.9,0.0,0.0,7.04,0.0,0.0,4.97,0.0,0.0,3.88,0.0,5.34,0.0,4.57,0.0,0.0,5.87,0.0,0.0,0.0,5.46,0.0,4.85,60.31,6.03
141746,MUN,B.Fernandes,M,11.5,0.0,4.7,0.0,0.0,5.64,0.0,5.45,0.0,0.0,5.45,0.0,0.0,0.0,5.67,0.0,5.19,0.0,0.0,6.01,0.0,0.0,5.32,0.0,0.0,5.06,0.0,5.14,0.0,5.27,58.89,5.12
219168,LIV,Isak,F,11.5,0.0,5.45,0.0,0.0,5.3,0.0,5.25,0.0,0.0,0.0,4.28,5.28,0.0,0.0,0.0,5.15,0.0,6.28,0.0,4.87,0.0,0.0,4.99,0.0,0.0,5.63,0.0,0.0,6.06,58.53,5.09
118748,LIV,M.Salah,F,12.0,0.0,6.68,0.0,0.0,6.52,0.0,6.41,0.0,0.0,0.0,5.06,6.56,0.0,0.0,0.0,6.34,0.0,7.92,0.0,5.96,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,57.7,4.81
154561,ARS,Raya,G,8.0,5.12,0.0,0.0,0.0,0.0,5.14,5.96,0.0,0.0,5.72,0.0,0.0,5.03,0.0,0.0,4.28,0.0,5.25,0.0,4.63,0.0,0.0,5.67,0.0,0.0,0.0,5.05,0.0,4.97,56.82,7.1
223340,ARS,Saka,M,11.5,5.07,0.0,0.0,0.0,0.0,5.37,5.64,0.0,0.0,5.93,0.0,0.0,5.59,0.0,0.0,4.36,0.0,5.48,0.0,4.55,0.0,0.0,5.25,0.0,0.0,0.0,4.42,0.0,4.94,56.6,4.92
437730,BOU,Semenyo,M,8.4,4.86,0.0,0.0,0.0,0.0,5.36,0.0,4.27,0.0,0.0,4.64,5.46,0.0,0.0,5.71,0.0,4.91,0.0,0.0,4.62,0.0,0.0,0.0,0.0,4.56,5.85,0.0,0.0,4.92,55.15,6.57
231747,CRY,Mateta,F,10.9,5.01,0.0,0.0,0.0,0.0,3.6,5.45,0.0,0.0,0.0,4.84,4.82,0.0,0.0,0.0,4.9,0.0,5.19,0.0,0.0,4.34,0.0,0.0,4.23,0.0,0.0,5.24,0.0,5.91,53.54,4.91
477424,MCI,Gvardiol,D,10.0,6.25,0.0,0.0,0.0,0.0,4.47,0.0,4.38,0.0,0.0,3.32,3.83,0.0,0.0,5.41,0.0,4.24,0.0,0.0,6.83,0.0,0.0,0.0,4.05,0.0,5.39,0.0,0.0,4.85,53.03,5.3
448047,CHE,Enzo,M,8.6,3.55,0.0,0.0,0.0,7.64,0.0,5.18,0.0,0.0,5.59,0.0,6.02,0.0,0.0,0.0,3.54,0.0,4.61,0.0,3.84,0.0,0.0,4.68,0.0,0.0,3.85,0.0,0.0,4.13,52.65,6.12
