fpl_code,team,player,pos,cost,1,2,3,4,5,6,7,8,9,10,11,12,total_pts,ppm
118748,LIV,M.Salah,M,13.5,7.62,6.67,5.93,7.79,7.21,6.69,6.08,7.44,7.13,7.4,5.89,7.41,83.25,6.17
244851,CHE,Palmer,M,11.0,6.78,6.28,6.27,6.19,5.7,6.22,5.4,5.73,8.08,6.13,6.62,6.57,75.96,6.91
223094,MCI,Haaland,F,13.0,6.54,7.2,5.91,6.49,4.65,7.41,6.25,6.17,5.75,6.36,5.58,5.56,73.86,5.68
223340,ARS,Saka,M,10.0,5.5,6.18,4.53,5.73,5.07,4.95,5.99,4.98,5.49,5.83,6.26,5.95,66.47,6.65
141746,MUN,B.Fernandes,M,8.5,4.74,5.2,6.76,4.65,5.23,5.53,7.34,4.55,5.61,5.18,5.49,5.5,65.78,7.74
232413,CRY,Eze,M,7.5,4.72,5.65,4.95,6.95,5.25,4.61,4.7,5.23,3.91,5.66,5.21,5.05,61.88,8.25
494595,LIV,Wirtz,M,9.0,5.51,4.8,4.38,5.68,5.3,4.86,4.52,5.33,5.16,5.26,4.37,5.4,60.59,6.73
178301,AVL,Watkins,F,9.5,5.1,5.01,5.11,4.64,5.91,5.12,5.92,5.02,4.53,4.08,5.07,4.99,60.51,6.37
178186,WHU,Bowen,M,8.0,6.1,4.84,4.77,5.52,5.06,4.52,3.77,5.31,4.85,4.76,5.77,4.5,59.77,7.47
444102,BOU,Evanilson,F,6.5,4.24,5.42,5.03,4.97,4.84,4.88,4.88,4.36,4.86,3.94,4.38,5.2,57.0,8.77
184029,ARS,Ødegaard,M,7.0,4.7,5.33,4.01,4.8,4.32,4.18,4.97,4.3,4.73,4.97,5.29,5.06,56.68,8.1
232185,CRY,Sarr,M,7.0,4.29,4.97,4.52,6.06,4.74,4.22,4.31,4.76,3.57,4.95,4.75,4.57,55.73,7.96
247412,WOL,Strand Larsen,F,6.5,4.49,4.44,4.78,4.17,5.05,4.61,4.69,5.34,5.38,4.22,3.9,4.51,55.56,8.55
219168,NEW,Isak,F,10.5,0.0,2.34,4.7,6.05,5.14,4.55,5.66,5.15,5.6,5.52,5.46,4.96,55.12,5.25
437730,BOU,Semenyo,M,7.0,4.08,5.17,4.76,4.82,4.56,4.67,4.75,4.33,4.7,3.85,4.23,5.05,54.98,7.85
451340,BHA,Mitoma,M,6.5,5.04,4.5,4.36,4.35,5.16,3.98,4.51,4.48,4.21,4.99,4.15,4.92,54.65,8.41
154566,TOT,Solanke,F,7.5,5.13,4.04,4.79,4.64,4.35,4.93,4.56,4.64,4.24,4.29,4.59,3.56,53.76,7.17
244850,AVL,Rogers,M,7.5,4.17,4.52,4.68,4.23,5.15,4.5,5.25,4.46,4.07,3.68,4.4,4.48,53.59,7.15
448047,CHE,Enzo,M,7.0,4.61,4.47,4.45,4.32,4.14,4.43,3.93,4.05,5.33,4.32,4.61,4.61,53.28,7.61
243298,LIV,Gakpo,M,7.5,4.82,4.25,3.85,5.08,4.57,4.28,3.98,4.74,4.47,4.64,3.79,4.69,53.17,7.09
60689,NFO,Wood,F,7.5,5.05,4.28,4.89,3.5,4.76,5.55,4.0,4.18,4.05,4.52,4.72,3.61,53.11,7.08
438234,MCI,Marmoush,F,8.0,4.68,5.13,4.25,4.63,3.41,5.23,4.47,4.45,4.17,4.54,3.88,4.02,52.87,6.61
154561,ARS,Raya,G,6.0,4.21,4.86,3.62,4.75,4.14,3.8,4.54,4.16,4.4,4.69,4.64,4.32,52.12,8.69
224117,ARS,Gyökeres,F,9.0,4.14,4.38,3.35,4.35,3.82,3.86,4.77,4.03,4.42,4.81,5.23,4.96,52.11,5.79
222531,NFO,Gibbs-White,M,7.0,4.87,4.16,4.82,3.45,4.66,5.49,3.88,4.02,3.97,4.37,4.63,3.57,51.91,7.42
231747,CRY,Mateta,F,7.0,4.13,4.8,4.26,5.82,4.52,4.05,3.98,4.06,3.0,4.27,4.07,3.97,50.92,7.27
513418,BRE,Schade,M,6.0,3.71,4.68,5.26,4.2,4.09,4.53,3.97,4.3,3.86,4.01,4.2,4.0,50.8,8.47
430871,MUN,Cunha,F,8.0,3.61,4.05,5.04,3.57,3.91,4.15,5.17,3.29,4.12,3.84,4.14,4.04,48.92,6.11
166989,AVL,Tielemans,M,6.0,4.19,4.15,4.16,3.86,4.63,4.09,4.68,3.97,3.68,3.38,4.02,4.02,48.84,8.14
226597,ARS,Gabriel,D,6.0,3.8,4.79,2.71,4.49,3.43,3.34,4.49,3.76,4.02,4.77,4.82,4.12,48.55,8.09
446008,MUN,Mbeumo,M,9.0,3.66,3.88,4.92,3.53,3.89,4.04,5.13,3.35,4.19,3.88,3.93,4.1,48.49,5.39
153133,FUL,Iwobi,M,6.5,4.04,4.26,3.65,4.42,4.35,3.81,3.77,3.4,3.67,4.33,3.77,4.85,48.33,7.44
215059,CHE,Sánchez,G,5.5,4.11,3.87,4.28,3.67,3.75,4.13,3.66,3.91,4.63,3.56,4.29,4.35,48.22,8.77
460842,TOT,Kudus,M,7.5,5.39,3.58,4.3,4.17,3.82,4.43,4.04,4.11,3.79,3.66,3.89,2.88,48.05,6.41
510663,LIV,Ekitiké,F,8.5,4.19,3.8,3.43,4.52,4.17,3.93,3.61,4.23,4.06,4.23,3.41,4.3,47.89,5.63
204480,ARS,Rice,M,6.5,4.0,4.34,3.43,4.04,3.67,3.57,4.19,3.68,3.9,4.08,4.3,4.17,47.38,7.29
116535,LIV,A.Becker,G,6.0,4.35,3.59,3.86,4.41,4.48,3.65,3.47,4.11,3.65,4.0,3.31,4.27,47.14,7.86
243016,LIV,Mac Allister,M,6.0,4.31,3.69,3.49,4.27,4.04,3.76,3.55,4.09,3.93,4.05,3.4,4.03,46.64,7.77
