Team,Name,Pos,BV,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,total_pts,ID,SV
MCI,Haaland,F,13.0,6.7,6.05,6.39,5.65,5.43,6.9,5.65,8.06,5.64,7.22,6.09,69.78,1677501,13.0
LIV,M.Salah,M,13.5,7.1,6.71,6.85,5.32,6.97,6.66,8.4,6.42,6.73,0.0,0.0,61.15,45106,13.5
ARS,Saka,M,10.0,4.9,5.28,5.54,5.72,5.44,4.23,5.38,4.49,5.25,4.37,4.92,55.53,106430,10.0
MUN,B.Fernandes,M,8.4,4.41,5.36,5.02,5.07,5.18,4.72,5.69,5.03,4.98,4.94,5.03,55.42,160701,8.4
BOU,Semenyo,M,7.1,4.68,5.24,4.09,4.51,5.34,5.49,4.84,4.51,4.45,5.79,4.71,53.64,2930166,7.1
LIV,Isak,F,10.5,4.97,4.69,4.82,3.81,4.86,4.68,5.76,4.54,4.64,4.99,5.51,53.26,2200000,10.5
WHU,Bowen,M,8.0,5.15,4.75,4.43,5.6,4.1,4.16,4.35,4.29,4.68,3.81,4.62,49.95,161049,8.0
ARS,Raya,G,6.0,4.46,4.56,4.89,4.75,4.51,3.97,4.61,4.15,4.82,4.35,4.44,49.51,192208,6.0
CRY,Mateta,F,7.0,4.51,3.2,4.89,4.45,4.39,4.51,4.81,3.95,3.84,4.76,5.27,48.56,201968,7.0
ARS,Gyökeres,F,9.0,4.75,5.15,5.21,5.2,4.5,3.49,4.3,3.72,4.31,3.55,4.03,48.21,4329253,9.0
AVL,Watkins,F,9.5,3.98,4.38,3.96,4.77,4.72,5.06,4.23,3.64,4.57,4.84,4.02,48.18,183114,9.5
CHE,Enzo,M,7.1,3.7,6.05,4.75,5.13,5.14,3.5,4.24,3.74,4.16,3.6,4.15,48.16,2930183,7.1
ARS,Gabriel,D,6.0,4.18,4.26,5.06,4.91,4.27,3.29,4.34,3.78,4.73,4.05,4.1,46.98,181081,6.0
BHA,Mitoma,M,6.5,3.26,4.2,4.83,4.0,4.6,4.11,4.33,4.69,3.38,5.23,3.09,45.73,1783652,6.5
LIV,Gakpo,M,7.6,4.26,3.96,4.07,3.16,4.19,3.95,4.93,3.87,3.99,4.19,4.73,45.29,2818755,7.6
MCI,Foden,M,9.0,4.41,3.93,4.03,3.53,3.47,4.41,3.67,4.96,3.59,4.75,4.08,44.84,55898,9.0
CHE,João Pedro,F,7.6,4.41,5.42,4.26,4.66,4.61,3.13,3.86,3.44,3.84,3.2,3.86,44.69,164449,7.6
ARS,J.Timber,D,6.1,4.08,4.11,4.84,4.7,4.13,3.1,4.17,3.54,4.39,3.78,3.85,44.68,3627958,6.1
NEW,Pope,G,5.5,3.77,4.39,3.99,3.81,3.89,3.98,4.1,4.75,4.22,3.91,3.71,44.52,24087,5.5
LIV,Frimpong,D,6.0,4.23,3.76,4.16,2.69,4.46,3.99,5.12,4.05,3.83,3.53,4.67,44.5,4293354,6.0
MCI,Donnarumma,G,6.0,4.39,3.72,4.15,3.67,3.46,4.53,3.86,4.68,3.57,4.31,3.98,44.32,4387247,6.0
ARS,Eze,M,7.5,3.95,4.3,4.62,4.66,4.37,3.24,4.09,3.49,4.04,3.36,3.73,43.84,180321,7.5
BOU,Evanilson,F,6.5,3.85,4.3,3.32,3.73,4.45,4.45,3.89,3.63,3.62,4.72,3.79,43.75,3925510,6.5
LIV,Szoboszlai,M,6.0,4.15,3.87,3.95,3.11,3.94,3.83,4.64,3.8,3.83,3.96,4.34,43.43,3590555,6.0
BOU,Petrović,G,5.0,3.51,4.34,3.27,3.55,4.21,4.14,4.24,3.83,3.52,4.63,3.61,42.86,3648390,5.0
BRE,Schade,M,6.0,4.2,3.62,3.62,3.82,3.66,4.83,2.86,3.85,4.28,4.04,3.96,42.74,2833740,6.0
LIV,Virgil,D,6.0,3.93,3.51,3.92,2.51,4.29,3.78,4.91,3.92,3.68,3.44,4.58,42.46,23238,6.0
ARS,Rice,M,6.5,3.81,4.02,4.23,4.29,4.06,3.38,3.94,3.56,3.89,3.49,3.76,42.43,32973,6.5
ARS,Saliba,D,6.0,3.84,3.82,4.57,4.44,3.82,2.97,3.93,3.42,4.2,3.7,3.71,42.42,1677493,6.0
CRY,Sarr,M,7.0,5.02,3.62,5.22,4.94,4.77,5.01,5.26,4.3,4.27,0.0,0.0,42.4,3912183,7.0
FUL,Leno,G,4.5,3.62,3.3,4.27,3.73,4.48,3.42,3.61,3.84,4.19,4.16,3.7,42.34,88472,4.5
CHE,Sánchez,G,5.5,3.9,4.48,3.46,4.24,4.14,3.5,3.89,3.45,4.1,3.23,3.89,42.28,192988,5.5
MUN,Cunha,F,8.0,3.3,4.0,3.82,3.8,3.94,3.47,4.29,3.84,3.85,3.76,3.91,41.99,3627793,8.0
EVE,Pickford,G,5.6,3.22,3.9,4.12,4.16,3.5,3.75,3.5,4.22,3.31,3.57,4.26,41.52,23433,5.6
CRY,Muñoz,D,5.5,4.08,2.35,4.23,3.75,3.91,3.9,4.7,3.52,2.99,4.03,4.06,41.52,3762190,5.5
MCI,Gvardiol,D,6.5,4.34,3.45,3.69,2.9,2.95,4.35,3.44,4.92,3.0,4.29,3.72,41.06,3634364,6.5
BHA,Minteh,M,6.0,3.81,3.71,4.24,3.45,4.02,3.58,3.8,4.2,3.0,4.56,2.63,41.0,3879494,6.0
WOL,Strand Larsen,F,6.5,4.15,4.61,3.47,3.23,3.67,3.37,3.99,3.78,2.69,4.45,3.31,40.73,3893792,6.5
CRY,Henderson,G,5.0,3.89,2.99,3.89,3.73,3.72,3.77,4.14,3.53,3.46,3.8,3.71,40.63,137863,5.0
LIV,Wirtz,M,9.0,2.71,2.97,3.73,2.95,3.89,3.74,4.55,3.7,3.63,4.09,4.57,40.53,4293356,9.0
BRE,Kelleher,G,4.5,3.66,3.55,3.37,3.68,3.37,4.54,3.07,3.34,4.31,3.75,3.88,40.52,140028,4.5
MCI,Reijnders,M,6.1,3.92,3.65,3.67,3.42,3.26,3.87,3.39,4.17,3.35,3.91,3.56,40.16,4293358,6.1
NFO,Sels,G,5.5,3.74,3.46,3.82,4.26,3.06,3.76,3.68,3.63,3.73,3.51,3.48,40.12,3763426,5.5
NEW,Bruno G.,M,6.0,3.65,3.84,3.76,3.59,3.28,3.36,3.77,4.12,3.94,3.41,3.37,40.09,283020,6.0
AVL,Rogers,M,7.5,3.98,3.6,3.22,3.85,3.87,4.11,3.46,3.05,3.77,3.9,3.24,40.06,3762913,7.5
TOT,Kudus,M,7.5,4.46,3.87,3.74,4.06,2.79,3.79,3.17,4.0,3.56,3.27,3.27,39.97,3649502,7.5
NEW,Woltemade,F,7.0,3.99,4.15,3.81,3.29,2.83,3.02,3.54,3.93,3.78,3.75,3.78,39.87,4386446,7.0
NEW,Gordon,M,7.4,3.75,4.02,3.85,3.39,3.04,3.1,3.65,4.09,3.84,3.56,3.52,39.8,242870,7.4
MUN,Šeško,F,7.5,3.12,3.76,3.59,3.62,3.66,3.29,4.02,3.61,3.58,3.57,3.7,39.51,4348880,7.5
LIV,Mac Allister,M,6.0,3.7,3.47,3.52,2.89,3.58,3.5,4.15,3.44,3.56,3.69,3.99,39.48,163914,6.0
BRE,Thiago,F,5.5,3.81,3.32,3.36,3.5,3.3,4.44,2.66,3.44,3.84,3.8,3.79,39.25,3879507,5.5
WHU,L.Paquetá,M,5.5,4.19,3.78,3.6,4.51,3.32,3.16,3.3,3.24,3.57,2.91,3.57,39.15,2235927,5.5
WHU,Areola,G,4.5,3.83,3.77,3.51,4.34,3.28,3.38,3.22,3.23,3.67,2.96,3.82,39.02,183126,4.5
AVL,Martinez,G,5.0,3.36,3.56,3.02,3.85,3.82,4.13,3.29,3.42,3.54,3.79,3.16,38.93,131313,5.0
BHA,Verbruggen,G,4.5,3.54,3.23,4.18,3.15,3.74,3.57,3.69,3.91,2.8,4.25,2.82,38.89,3591888,4.5
NEW,Tonali,M,5.5,3.45,3.65,3.62,3.47,3.24,3.31,3.7,3.97,3.78,3.34,3.32,38.86,3591232,5.5
CHE,Cucurella,D,5.5,3.66,4.87,3.07,4.16,4.28,2.62,3.57,2.77,3.65,2.52,3.38,38.53,257179,5.5
CHE,Neto,M,7.0,2.48,4.81,3.68,4.11,4.01,2.77,3.42,3.01,3.34,2.88,3.47,37.98,139207,7.0
NFO,Gibbs-White,M,7.0,3.65,3.37,3.66,3.95,2.94,3.58,3.5,3.21,3.67,3.17,3.1,37.82,88531,7.0
EVE,Dewsbury-Hall,M,5.0,3.22,3.8,3.9,3.53,3.34,3.34,3.18,3.61,3.06,3.02,3.79,37.79,242878,5.0
TOT,Vicario,G,5.0,3.76,3.53,3.48,3.68,2.84,3.85,2.98,3.71,3.54,3.24,3.14,37.74,3584409,5.0
BOU,Truffert,D,4.5,2.81,4.03,2.14,2.96,3.98,4.15,3.8,2.89,2.82,4.66,3.01,37.25,4293382,4.5
ARS,Zubimendi,M,5.0,3.41,3.49,3.61,3.65,3.54,2.99,3.43,3.1,3.4,3.18,3.3,37.09,4297973,5.0
NEW,Joelinton,M,5.5,2.7,3.69,3.62,3.37,3.08,3.09,3.52,3.82,3.71,3.19,3.28,37.06,137599,5.5
BOU,Tavernier,M,5.5,3.33,3.7,2.71,3.06,3.54,3.64,3.26,3.04,3.04,3.98,3.23,36.53,1954998,5.5
MUN,Mbeumo,M,9.0,3.54,4.27,4.03,4.08,4.09,3.75,4.53,4.02,4.08,0.0,0.0,36.39,192214,9.0
LEE,Calvert-Lewin,F,5.5,4.03,3.91,3.13,3.21,3.39,2.69,3.0,2.84,3.2,3.18,3.65,36.22,4356042,5.5
TOT,Solanke,F,7.5,1.61,3.42,3.64,3.82,2.7,3.68,3.16,4.04,3.56,3.18,3.27,36.08,230753,7.5
MUN,Lammens,G,4.5,2.47,3.5,3.42,3.0,3.72,2.96,3.66,3.42,3.41,3.04,3.22,35.83,4386967,4.5
LIV,Gravenberch,M,5.0,3.44,3.23,3.31,2.82,3.28,3.21,3.64,3.2,3.15,3.11,3.41,35.81,3652436,5.0
SUN,Roefs,G,4.5,3.78,2.96,3.61,3.13,3.13,3.46,2.78,2.79,3.22,2.93,3.83,35.62,4338689,4.5
TOT,Xavi,M,6.5,4.0,3.51,3.46,3.59,2.36,3.41,2.75,3.59,3.18,2.83,2.92,35.58,4381238,6.5
BUR,Dúbravka,G,5.0,3.85,3.3,3.08,3.1,3.24,2.96,3.27,2.73,3.52,2.96,3.56,35.57,77662,5.0
BRE,Damsgaard,M,6.0,3.5,3.06,3.06,3.1,3.0,3.86,2.46,3.16,3.56,3.28,3.28,35.33,2064482,6.0
LIV,Konaté,D,5.5,3.02,2.97,3.37,2.11,3.66,3.24,4.13,3.31,3.04,2.7,3.59,35.13,225319,5.5
EVE,Grealish,M,6.0,0.0,3.9,4.04,3.67,3.39,3.41,3.19,3.67,2.98,2.89,3.84,34.98,131338,6.0
MCI,Rúben,D,6.0,3.83,2.92,3.16,2.47,2.47,3.71,2.94,4.12,2.57,3.57,3.17,34.93,186737,6.0
FUL,Andersen,D,4.5,2.4,2.33,3.76,3.08,4.39,2.54,2.36,2.93,3.97,3.61,3.18,34.55,187804,4.5
CHE,Caicedo,M,5.0,2.38,3.78,3.24,3.45,3.49,2.83,3.23,2.93,3.2,2.83,3.13,34.49,203010,5.0
NEW,Schär,D,5.5,2.79,3.6,3.37,2.9,2.45,3.05,3.09,4.21,3.67,2.7,2.63,34.46,91161,5.5
CRY,Lacroix,D,4.5,3.24,1.93,3.38,3.13,3.31,3.23,4.08,2.95,2.45,3.43,3.23,34.34,3947465,4.5
NFO,Wood,F,7.5,2.35,3.09,3.44,3.73,2.64,3.26,3.3,2.89,3.6,2.95,2.94,34.2,57345,7.5
CRY,Yeremy,M,6.0,3.23,2.3,3.36,3.17,3.04,3.18,3.39,2.82,2.72,3.32,3.56,34.11,4381237,6.0
CRY,Guéhi,D,5.0,3.17,1.88,3.37,3.08,3.3,3.21,4.09,2.95,2.4,3.42,3.18,34.05,231961,5.0
WOL,Johnstone,G,4.5,3.66,3.97,3.04,2.69,3.15,2.76,3.47,3.16,2.45,3.23,2.43,34.02,1758328,4.5
ARS,Calafiori,D,5.7,3.68,3.62,4.14,3.92,3.21,2.33,2.84,2.39,2.93,2.46,2.49,34.02,3907046,5.7
BHA,Georginio,F,5.5,3.22,3.05,3.5,2.81,3.35,2.97,3.15,3.47,2.48,3.71,2.19,33.9,3932747,5.5
CHE,Estêvão,M,6.0,3.64,4.4,3.31,3.88,3.68,2.27,3.01,2.3,2.52,2.03,2.59,33.63,4293364,6.0
BOU,Senesi,D,4.5,2.5,3.68,1.9,2.67,3.63,3.76,3.49,2.56,2.51,4.24,2.65,33.6,2018115,4.5
LEE,Stach,M,4.5,3.47,3.44,2.94,3.0,3.08,2.62,2.85,2.76,2.94,2.98,3.27,33.35,4317775,4.5
BOU,Diakité,D,4.5,2.45,3.59,1.87,2.65,3.58,3.73,3.48,2.56,2.52,4.22,2.64,33.28,4352383,4.5
SUN,Xhaka,M,5.0,3.67,3.07,3.37,2.8,2.91,3.07,2.66,2.65,2.82,2.9,3.34,33.26,4332524,5.0
CHE,Chalobah,D,5.0,3.13,4.15,2.63,3.62,3.67,2.28,3.09,2.42,3.14,2.12,2.96,33.19,242981,5.0
EVE,Garner,M,4.5,2.96,3.32,3.43,3.15,2.95,2.87,2.77,3.09,2.64,2.71,3.29,33.19,255546,4.5
BOU,Kluivert,M,6.5,2.75,3.45,2.4,2.81,3.48,3.3,2.94,2.69,2.67,3.77,2.93,33.18,3584408,6.5
WOL,J.Arias,M,6.0,3.54,3.77,2.84,2.67,3.03,2.76,3.22,3.11,2.27,3.32,2.55,33.07,4316723,6.0
CRY,Mitchell,D,5.0,3.1,1.88,3.25,3.03,3.2,3.13,3.9,2.83,2.34,3.25,3.04,32.94,174861,5.0
TOT,Pedro Porro,D,5.5,3.68,3.21,2.86,3.45,1.91,3.58,2.4,3.53,3.24,2.35,2.53,32.72,2930177,5.5
BRE,O.Dango,M,6.0,3.86,3.39,3.46,3.49,3.42,4.54,2.77,3.62,4.16,0.0,0.0,32.72,2882402,6.0
EVE,Tarkowski,D,4.4,1.97,3.2,3.93,3.48,2.68,2.86,2.56,3.6,2.14,2.37,3.88,32.68,23287,4.4
LIV,Kerkez,D,6.0,3.01,2.74,3.05,1.93,3.26,2.95,3.82,3.07,2.82,2.57,3.25,32.47,3628155,6.0
BUR,Anthony,M,6.1,2.95,3.22,2.62,3.17,2.88,2.96,3.03,2.62,3.05,2.81,3.07,32.37,230755,6.1
NEW,Burn,D,5.0,2.7,3.57,3.31,2.75,2.24,2.87,2.81,3.84,3.36,2.39,2.43,32.27,92423,5.0
CRY,Richards,D,4.5,3.05,1.84,3.19,2.91,3.11,2.99,3.79,2.73,2.28,3.19,2.99,32.07,1908560,4.5
EVE,O'Brien,D,4.5,1.96,3.13,3.81,3.4,2.62,2.79,2.5,3.52,2.1,2.3,3.86,31.98,3907762,4.5
LIV,Ekitiké,F,8.5,2.63,2.42,2.63,1.88,2.85,2.74,3.48,2.79,2.73,3.62,4.1,31.86,4322253,8.5
BHA,Ayari,M,4.5,3.0,2.9,3.27,2.69,3.03,2.74,2.92,3.09,2.37,3.42,2.26,31.68,2930169,4.5
FUL,Iwobi,M,6.5,3.08,3.22,3.9,3.32,4.29,3.42,3.14,3.44,3.75,0.0,0.0,31.56,23326,6.5
NEW,Thiaw,D,5.0,2.53,3.3,3.05,2.64,2.19,2.82,2.85,3.89,3.44,2.39,2.46,31.55,4352112,5.0
BHA,Van Hecke,D,4.5,2.83,2.56,3.83,2.33,3.15,2.96,3.06,3.47,1.59,4.03,1.71,31.52,2209114,4.5
BHA,Dunk,D,4.5,2.86,2.56,3.74,2.28,3.07,2.95,3.01,3.45,1.6,4.0,1.72,31.25,45008,4.5
MCI,Rodrigo,M,6.0,0.0,0.0,2.86,3.3,3.19,3.83,3.34,4.14,3.33,3.83,3.41,31.23,132974,6.0
BRE,Van den Berg,D,4.5,3.15,2.15,2.37,2.75,2.39,4.37,1.73,2.41,3.71,3.13,2.95,31.12,3879483,4.5
LEE,Perri,G,4.5,0.0,1.99,2.98,3.39,3.51,2.74,3.26,3.07,3.09,3.38,3.67,31.07,4329252,4.5
WHU,Souček,M,6.0,3.0,2.87,2.8,3.47,2.62,2.54,2.7,2.69,2.93,2.48,2.95,31.04,160700,6.0
MCI,Bernardo,M,6.0,3.19,2.97,2.94,2.49,2.08,3.14,2.28,3.48,2.22,3.48,2.76,31.02,45081,6.0
FUL,Muniz,F,5.5,0.0,0.91,3.28,3.05,4.21,3.22,2.84,3.26,3.54,3.42,3.25,30.98,3556539,5.5
FUL,Berge,M,4.5,2.68,2.68,3.08,2.77,3.17,2.69,2.57,2.72,2.9,2.85,2.76,30.86,3584353,4.5
CHE,James,D,5.5,3.11,3.96,2.59,3.49,3.46,1.94,2.38,2.2,2.92,2.17,2.44,30.66,148332,5.5
EVE,Ndiaye,M,6.5,3.11,3.79,3.94,3.5,3.24,3.3,3.12,3.58,2.92,0.0,0.0,30.51,3893793,6.5
BRE,Collins,D,4.9,3.1,2.13,2.34,2.68,2.31,4.27,1.7,2.37,3.65,3.02,2.85,30.41,234803,4.9
EVE,Branthwaite,D,4.5,1.69,2.98,3.66,3.23,2.49,2.66,2.4,3.38,2.0,2.24,3.68,30.4,242875,4.5
EVE,Mykolenko,D,4.5,1.86,2.96,3.65,3.22,2.48,2.63,2.36,3.35,2.01,2.21,3.6,30.33,274827,4.5
WOL,Gomes,M,5.0,3.31,3.45,2.72,2.38,2.7,2.49,2.78,2.77,2.23,3.0,2.46,30.28,2930170,5.0
NFO,Anderson,M,5.6,2.88,2.74,3.03,3.12,2.43,2.77,2.73,2.63,2.82,2.58,2.51,30.24,200376,5.6
WOL,Krejčí,D,4.5,3.84,4.4,2.72,1.86,2.68,2.39,3.3,2.8,1.56,3.0,1.47,30.02,4380426,4.5
CHE,Garnacho,M,6.5,3.59,4.22,3.3,3.57,3.49,1.64,2.27,1.77,2.24,1.66,2.23,29.99,1214404,6.5
CRY,Wharton,M,4.5,2.82,2.22,2.9,2.78,2.69,2.8,2.94,2.56,2.46,2.86,2.93,29.96,3763100,4.5
CRY,Kamada,M,5.0,2.62,2.01,2.86,2.67,2.66,2.67,2.94,2.51,2.38,3.02,3.18,29.53,3879498,5.0
MCI,Aït-Nouri,D,6.0,1.92,2.8,3.69,2.89,2.87,4.29,3.32,4.79,2.95,0.0,0.0,29.52,187323,6.0
MUN,Amad,M,7.5,2.89,3.5,3.31,3.24,3.38,3.06,3.61,3.22,3.27,0.0,0.0,29.49,198784,7.5
CHE,Palmer,M,11.0,0.0,0.0,0.0,0.0,0.0,3.14,4.92,4.98,5.72,4.85,5.84,29.44,242906,11.0
NFO,Milenković,D,5.5,2.54,2.4,2.95,3.64,1.59,2.81,2.97,2.87,2.87,2.67,2.13,29.44,3893837,5.5
WHU,M.Fernandes,M,5.0,2.92,2.81,2.62,3.26,2.48,2.46,2.54,2.49,2.72,2.34,2.75,29.39,3934330,5.0
NFO,N.Williams,D,5.0,2.63,2.23,2.76,3.51,1.61,2.78,3.0,2.91,2.78,2.7,2.19,29.11,156926,5.0
BRE,Henderson,M,4.5,2.9,2.57,2.54,2.59,2.49,3.13,2.11,2.52,2.86,2.7,2.68,29.09,4307740,4.5
TOT,J.Palhinha,M,4.5,3.01,2.82,2.74,2.86,2.13,2.74,2.37,2.8,2.51,2.47,2.49,28.94,4338693,4.5
LEE,Bogle,D,4.4,3.86,3.43,2.18,2.78,2.87,1.54,2.21,1.84,2.34,2.5,3.36,28.9,4293425,4.4
LEE,Struijk,D,4.5,3.88,3.4,2.17,2.71,2.81,1.58,2.21,1.84,2.31,2.42,3.34,28.67,4293422,4.5
NFO,Ndoye,M,6.5,2.67,2.53,2.79,2.99,2.25,2.72,2.64,2.49,2.78,2.44,2.34,28.64,4332525,6.5
MUN,De Ligt,D,4.5,1.59,2.81,2.86,2.3,3.19,2.15,3.23,2.84,2.69,2.44,2.53,28.63,3922519,4.5
CHE,Fofana,D,5.0,2.73,3.58,2.21,3.06,3.2,1.91,2.67,2.06,2.8,1.86,2.49,28.56,186823,5.0
BHA,Wieffer,M,4.5,2.91,2.69,2.99,2.39,2.68,2.5,2.55,2.74,2.04,3.01,2.0,28.5,3893796,4.5
AVL,McGinn,M,5.5,2.9,2.43,2.41,2.72,2.67,2.8,2.41,2.07,2.67,3.04,2.3,28.4,131333,5.5
AVL,Konsa,D,5.0,2.46,2.26,1.6,2.92,3.15,3.58,2.32,2.21,2.94,2.95,1.96,28.37,134708,5.0
FUL,Tete,D,4.5,0.0,0.76,3.34,2.89,4.08,2.39,2.19,2.71,3.67,3.33,2.98,28.32,231155,4.5
WHU,Summerville,M,5.0,2.92,2.74,2.56,3.14,2.27,2.11,2.35,2.35,2.65,2.32,2.9,28.31,3912182,5.0
FUL,King,M,4.5,2.27,2.35,2.91,2.48,3.15,2.4,2.17,2.44,2.69,2.77,2.63,28.24,4034328,4.5
EVE,Beto,F,6.5,2.32,3.01,3.1,2.8,2.22,2.2,2.38,2.87,1.89,2.17,3.24,28.21,3650885,6.5
BRE,Kayode,D,4.5,2.87,1.94,2.13,2.47,2.14,4.01,1.56,2.19,3.4,2.8,2.67,28.16,4068254,4.5
WOL,Munetsi,M,5.0,3.65,3.78,2.99,2.74,3.15,2.96,3.25,3.18,2.4,0.0,0.0,28.11,4070205,5.0
AVL,Kamara,M,4.5,2.78,2.63,2.46,2.72,2.69,2.74,2.4,2.26,2.56,2.6,2.25,28.1,1697059,4.5
SUN,E.Le Fée,M,4.5,2.96,2.41,2.76,2.3,2.51,2.58,2.3,2.25,2.41,2.57,2.95,28.01,4293457,4.5
CHE,Tosin,D,5.0,2.57,3.45,2.22,3.04,3.12,1.89,2.59,1.95,2.67,1.9,2.53,27.94,231147,5.0
BUR,Cullen,M,4.6,2.83,2.62,2.33,2.66,2.42,2.54,2.54,2.32,2.55,2.43,2.68,27.93,3584337,4.6
AVL,Cash,D,5.0,2.54,2.28,1.63,2.87,3.09,3.49,2.3,2.09,2.85,2.8,1.9,27.84,181873,5.0
BHA,Welbeck,F,5.9,3.18,2.46,2.93,2.17,2.76,2.32,2.55,2.88,1.64,3.4,1.54,27.83,23331,5.9
MUN,Dalot,D,5.0,1.53,2.62,2.65,2.2,2.95,2.03,3.04,2.65,2.54,2.66,2.78,27.66,242908,5.0
