fpl_code,team,player,pos,cost,8,9,10,11,12,13,14,15,16,17,18,total_pts,ppm
223094,MCI,Haaland,F,14.5,6.26,5.83,6.15,5.56,5.1,6.93,5.42,7.93,5.57,7.27,5.88,67.88,4.68
118748,LIV,M.Salah,M,14.4,6.76,6.16,6.54,4.86,6.59,6.19,8.05,6.09,6.42,0.0,0.0,57.67,4.0
141746,MUN,B.Fernandes,M,9.0,4.48,5.54,4.99,5.16,5.27,4.82,5.76,5.1,5.08,5.04,5.21,56.44,6.27
223340,ARS,Saka,M,9.9,4.93,5.43,5.69,5.81,5.51,4.21,5.37,4.53,5.32,4.34,5.02,56.16,5.67
437730,BOU,Semenyo,M,7.9,4.47,5.0,3.75,4.27,5.13,5.31,4.63,4.25,4.23,5.68,4.4,51.12,6.47
219168,LIV,Isak,F,10.6,4.85,4.37,4.66,3.63,4.56,4.37,5.43,4.35,4.55,4.8,5.41,50.97,4.81
226597,ARS,Gabriel,D,6.3,4.64,4.62,5.39,5.15,4.53,3.59,4.54,4.07,4.92,4.34,4.38,50.16,7.96
231747,CRY,Mateta,F,7.5,4.49,3.08,4.9,4.59,4.36,4.63,4.81,3.85,3.86,4.82,5.35,48.74,6.5
448047,CHE,Enzo,M,6.7,3.6,6.23,4.86,5.24,5.24,3.44,4.23,3.7,4.11,3.58,4.11,48.36,7.22
97032,LIV,Virgil,D,6.1,4.41,3.96,4.3,2.95,4.58,4.03,5.06,4.33,4.05,3.79,4.82,46.29,7.59
445122,ARS,J.Timber,D,5.9,4.28,4.28,5.02,4.79,4.19,3.18,4.19,3.63,4.45,3.91,3.91,45.83,7.77
462424,ARS,Saliba,D,6.0,4.3,4.17,4.91,4.72,4.08,3.27,4.17,3.71,4.4,4.02,3.98,45.74,7.62
247348,CRY,Muñoz,D,5.6,4.53,2.84,4.49,4.05,4.15,4.16,5.01,3.75,3.25,4.36,4.33,44.92,8.02
178301,AVL,Watkins,F,8.7,3.83,4.06,3.54,4.47,4.45,4.81,3.94,3.27,4.22,4.56,3.6,44.76,5.15
17761,EVE,Tarkowski,D,5.5,3.12,4.3,4.92,4.57,3.72,3.92,3.69,4.49,3.12,3.57,4.76,44.18,8.03
174874,FUL,Andersen,D,4.5,3.63,3.31,4.54,3.97,5.17,3.41,3.24,3.75,4.83,4.38,3.93,44.16,9.81
437499,CRY,Lacroix,D,5.1,4.31,3.06,4.25,4.02,4.04,4.03,4.88,3.82,3.27,4.31,4.02,43.99,8.63
451340,BHA,Mitoma,M,6.3,3.16,4.02,4.76,3.81,4.4,3.89,4.22,4.53,3.17,5.07,2.88,43.91,6.97
243298,LIV,Gakpo,M,7.5,4.21,3.78,3.98,3.07,4.03,3.75,4.73,3.76,3.89,4.03,4.65,43.87,5.85
204480,ARS,Rice,M,6.5,4.06,4.3,4.45,4.49,4.21,3.39,3.94,3.63,3.89,3.51,3.8,43.66,6.72
513418,BRE,Schade,M,7.0,4.23,3.68,3.69,3.86,3.72,5.0,2.89,3.86,4.45,4.13,4.06,43.56,6.22
232413,ARS,Eze,M,7.6,3.97,4.41,4.69,4.64,4.33,3.18,3.94,3.43,3.95,3.21,3.69,43.44,5.72
154561,ARS,Raya,G,5.7,3.94,3.92,4.44,4.26,3.83,3.34,3.97,3.6,4.26,3.88,3.8,43.24,7.59
216094,LIV,Frimpong,D,5.8,4.18,3.62,4.08,2.65,4.35,3.85,4.92,3.96,3.71,3.36,4.56,43.24,7.46
444102,BOU,Evanilson,F,7.0,3.8,4.21,3.25,3.72,4.42,4.39,3.79,3.64,3.63,4.68,3.7,43.23,6.18
592031,BHA,Minteh,M,6.0,4.06,3.94,4.54,3.65,4.18,3.71,4.03,4.37,3.16,4.74,2.76,43.13,7.19
178186,WHU,Bowen,F,7.7,4.38,4.09,3.81,4.82,3.49,3.57,3.73,3.68,4.08,3.18,3.92,42.75,5.55
224117,ARS,Gyökeres,F,9.1,4.08,4.64,4.64,4.61,4.09,3.06,3.8,3.3,3.85,2.96,3.7,42.73,4.7
208706,NEW,Bruno G.,M,6.5,4.04,4.15,4.03,3.81,3.38,3.57,4.02,4.31,4.19,3.57,3.62,42.68,6.57
477424,MCI,Gvardiol,D,5.9,4.59,3.67,3.84,3.12,3.14,4.49,3.6,4.93,3.1,4.33,3.81,42.62,7.22
209244,MCI,Foden,M,8.1,4.24,3.78,3.82,3.38,3.25,4.23,3.44,4.67,3.44,4.51,3.84,42.6,5.26
224024,WHU,L.Paquetá,M,5.9,4.52,4.13,3.92,4.9,3.58,3.36,3.51,3.43,3.79,2.98,3.73,41.84,7.09
232185,CRY,Sarr,M,6.5,4.97,3.43,5.15,4.93,4.71,4.99,5.26,4.18,4.14,0.0,0.0,41.77,6.43
475168,CHE,João Pedro,F,7.7,4.0,5.06,4.01,4.42,4.27,2.88,3.56,3.18,3.45,2.96,3.62,41.4,5.38
221466,BOU,Senesi,D,5.0,3.33,4.43,2.73,3.43,4.28,4.43,4.2,3.2,3.16,4.87,3.31,41.37,8.27
430871,MUN,Cunha,M,8.0,3.16,4.02,3.65,3.64,3.85,3.4,4.21,3.76,3.78,3.73,3.89,41.08,5.14
424876,LIV,Szoboszlai,M,6.5,4.03,3.65,3.75,2.91,3.66,3.55,4.37,3.59,3.6,3.74,4.15,40.99,6.31
247412,WOL,Strand Larsen,F,6.4,4.24,4.69,3.38,3.15,3.82,3.4,3.97,3.9,2.62,4.48,3.19,40.83,6.38
209036,CRY,Guéhi,D,4.9,3.89,2.67,3.95,3.66,3.77,3.74,4.63,3.52,2.94,4.04,3.69,40.49,8.26
179268,CHE,Cucurella,D,6.1,3.79,4.98,3.24,4.29,4.43,2.87,3.71,2.89,3.75,2.64,3.46,40.07,6.57
427623,CRY,Richards,D,4.5,3.95,2.82,3.92,3.6,3.66,3.58,4.4,3.35,2.91,3.88,3.58,39.66,8.81
243016,LIV,Mac Allister,M,6.3,3.82,3.48,3.53,2.86,3.49,3.46,4.17,3.44,3.56,3.81,4.02,39.65,6.29
480455,EVE,Branthwaite,D,5.3,2.37,3.93,4.47,4.11,3.31,3.51,3.36,4.1,2.77,3.23,4.44,39.59,7.47
460842,TOT,Kudus,M,6.8,4.44,3.81,3.68,4.06,2.72,3.74,3.08,3.9,3.46,3.23,3.24,39.36,5.79
232826,NEW,Gordon,M,7.4,3.8,4.04,3.82,3.26,3.02,3.03,3.53,3.97,3.69,3.61,3.57,39.33,5.31
502500,BRE,Thiago,F,6.1,3.76,3.33,3.36,3.45,3.33,4.5,2.58,3.4,3.97,3.78,3.82,39.28,6.44
432830,BRE,Collins,D,4.9,3.88,3.21,3.1,3.43,3.04,4.9,2.61,3.04,4.41,3.56,3.61,38.79,7.92
440089,BRE,Damsgaard,M,5.8,3.86,3.39,3.39,3.41,3.28,4.2,2.7,3.48,3.88,3.61,3.6,38.79,6.69
432422,NEW,Tonali,M,5.4,3.52,3.7,3.62,3.45,3.16,3.29,3.72,3.93,3.75,3.28,3.35,38.76,7.18
494521,BOU,Truffert,D,4.5,2.98,4.16,2.31,3.1,4.09,4.27,3.96,3.0,2.94,4.79,3.1,38.71,8.6
494595,LIV,Wirtz,M,8.1,2.29,2.73,3.6,2.86,3.71,3.54,4.33,3.58,3.48,3.95,4.51,38.56,4.76
470313,NEW,Woltemade,F,7.2,3.85,4.01,3.67,3.12,2.8,2.81,3.41,3.68,3.54,3.73,3.73,38.36,5.33
244850,AVL,Rogers,M,6.9,3.75,3.41,3.03,3.71,3.77,4.0,3.33,2.9,3.59,3.78,3.04,38.31,5.55
486672,CHE,Caicedo,M,5.8,2.14,4.2,3.68,3.77,3.85,3.08,3.54,3.24,3.43,3.16,3.35,37.43,6.45
180974,NEW,Joelinton,M,5.9,2.65,3.84,3.7,3.41,3.09,3.08,3.56,3.77,3.71,3.2,3.41,37.43,6.34
575476,NFO,Murillo,D,5.4,2.6,3.41,3.76,4.49,2.6,3.57,3.6,3.59,3.51,3.4,2.84,37.38,6.92
204936,MCI,Donnarumma,G,5.7,3.83,3.11,3.46,2.91,2.83,3.89,3.28,4.08,2.91,3.66,3.39,37.37,6.56
242882,BOU,Diakité,D,4.5,2.92,3.96,2.31,3.04,3.87,4.03,3.86,2.9,2.88,4.52,2.99,37.29,8.29
215413,EVE,Dewsbury-Hall,M,5.0,3.1,3.8,3.91,3.47,3.31,3.3,3.13,3.51,2.93,2.91,3.77,37.14,7.43
204716,LIV,Konaté,D,5.5,3.12,3.3,3.61,2.42,3.84,3.41,4.21,3.55,3.18,2.85,3.64,37.14,6.75
444765,BRE,Van den Berg,D,4.5,3.68,2.93,2.9,3.3,2.94,4.81,2.44,2.86,4.24,3.49,3.5,37.1,8.24
469142,BHA,Van Hecke,D,4.4,3.47,3.14,4.43,2.82,3.59,3.34,3.48,3.8,2.18,4.3,2.32,36.86,8.38
98747,NEW,Pope,G,5.1,3.02,3.7,3.34,3.1,3.08,3.39,3.31,4.13,3.62,3.13,3.01,36.81,7.22
244723,CRY,Mitchell,D,5.0,3.52,2.37,3.55,3.38,3.51,3.43,4.25,3.13,2.63,3.6,3.32,36.69,7.34
222531,NFO,Gibbs-White,M,7.4,3.5,3.25,3.59,3.9,2.8,3.5,3.39,3.08,3.56,3.02,2.96,36.54,4.94
227444,NFO,Milenković,D,5.3,3.22,3.19,3.57,4.36,2.43,3.43,3.43,3.45,3.43,3.27,2.69,36.47,6.88
247632,CHE,Neto,M,7.0,2.29,4.67,3.52,4.0,3.88,2.68,3.27,2.87,3.16,2.75,3.33,36.42,5.2
463067,BHA,Georginio,M,5.7,3.45,3.28,3.81,3.02,3.57,3.14,3.4,3.71,2.69,3.89,2.38,36.33,6.37
466525,LEE,Stach,M,5.0,3.87,3.75,3.26,3.21,3.35,2.78,3.01,3.07,3.19,3.26,3.48,36.23,7.25
485711,MUN,Šeško,F,7.3,2.86,3.53,3.18,3.26,3.27,3.04,3.65,3.27,3.28,3.32,3.43,36.08,4.94
119471,NEW,Schär,D,5.4,3.13,3.93,3.55,3.06,2.62,3.21,3.09,4.22,3.65,2.84,2.74,36.03,6.67
488024,CRY,Yeremy,M,5.9,3.46,2.51,3.5,3.34,3.2,3.35,3.55,2.96,2.87,3.54,3.73,36.0,6.1
224967,EVE,Mykolenko,D,4.9,2.46,3.57,4.16,3.74,2.96,3.11,2.89,3.75,2.45,2.78,4.04,35.91,7.33
441266,LIV,Gravenberch,M,5.7,3.61,3.29,3.37,2.81,3.19,3.16,3.62,3.21,3.08,3.13,3.39,35.86,6.29
512462,EVE,O'Brien,D,5.0,2.39,3.49,4.13,3.76,2.93,3.13,2.89,3.8,2.4,2.74,4.18,35.84,7.17
481655,ARS,Zubimendi,M,5.5,3.44,3.49,3.56,3.56,3.48,2.79,3.24,2.92,3.19,3.03,3.12,35.83,6.51
201658,BOU,Tavernier,M,5.5,3.38,3.65,2.64,3.01,3.42,3.54,3.16,2.96,2.99,3.92,3.12,35.79,6.51
78916,NEW,Burn,D,5.1,3.35,4.17,3.77,3.16,2.51,3.15,2.93,3.93,3.43,2.55,2.65,35.59,6.98
457569,BOU,Petrović,G,4.5,2.81,3.69,2.53,2.9,3.55,3.57,3.64,3.05,2.84,4.06,2.93,35.57,7.9
433036,MCI,Reijnders,M,5.8,3.56,3.28,3.26,3.05,2.88,3.44,2.97,3.66,2.97,3.4,3.1,35.57,6.13
171314,MCI,Rúben,D,5.5,4.02,3.04,3.23,2.61,2.56,3.72,3.02,4.03,2.62,3.5,3.19,35.54,6.46
493362,TOT,Xavi,M,7.0,4.04,3.49,3.47,3.62,2.39,3.38,2.71,3.51,3.11,2.85,2.92,35.48,5.07
80201,FUL,Leno,G,5.0,2.95,2.66,3.65,3.2,3.91,2.73,2.85,3.13,3.7,3.54,3.1,35.42,7.08
215059,CHE,Sánchez,G,4.9,3.29,3.87,2.75,3.6,3.62,2.86,3.28,2.8,3.53,2.61,3.21,35.41,7.23
441164,TOT,Pedro Porro,D,5.6,3.99,3.48,3.09,3.69,2.27,3.81,2.62,3.68,3.4,2.61,2.69,35.34,6.31
215379,NFO,Anderson,M,5.4,3.37,3.36,3.63,3.63,2.92,3.18,3.11,3.02,3.23,2.92,2.77,35.13,6.51
111234,EVE,Pickford,G,5.5,2.52,3.2,3.62,3.57,2.88,3.1,2.88,3.63,2.64,2.94,3.78,34.76,6.32
448089,WOL,Gomes,M,5.4,3.99,4.04,3.09,2.64,3.04,2.8,3.0,3.13,2.52,3.4,2.89,34.56,6.4
180736,CHE,Chalobah,D,5.1,3.29,4.21,2.77,3.72,3.77,2.57,3.21,2.56,3.21,2.21,3.01,34.53,6.77
220566,MCI,Rodrigo,M,6.4,0.0,0.0,2.82,3.77,3.67,4.25,3.72,4.57,3.8,4.11,3.67,34.39,5.37
60689,NFO,Wood,F,7.3,2.43,3.05,3.56,3.83,2.63,3.4,3.26,2.79,3.65,2.85,2.95,34.38,4.71
84450,SUN,Xhaka,M,5.0,3.92,3.15,3.54,2.85,2.98,3.23,2.75,2.61,2.9,2.97,3.46,34.37,6.87
214048,WHU,Kilman,D,4.4,3.67,3.75,3.01,4.51,2.78,2.64,2.66,2.63,3.21,2.07,3.41,34.35,7.81
154566,TOT,Solanke,F,7.2,1.07,3.18,3.55,3.78,2.55,3.54,2.95,3.95,3.32,3.1,3.15,34.14,4.74
496221,CRY,Wharton,M,5.0,3.33,2.64,3.26,3.13,3.02,3.16,3.27,2.89,2.72,3.26,3.34,34.03,6.81
