fpl_code,team,player,pos,cost,2025-10-18T12:30:00Z,2025-10-18T15:00:00Z,2025-10-18T17:30:00Z,2025-10-19T14:00:00Z,2025-10-19T16:30:00Z,2025-10-20T20:00:00Z,2025-10-24T20:00:00Z,2025-10-25T15:00:00Z,2025-10-25T17:30:00Z,2025-10-25T20:00:00Z,2025-10-26T14:00:00Z,2025-10-26T16:30:00Z,2025-10-28T19:45:00Z,2025-10-29T19:45:00Z,2025-10-29T20:00:00Z,2025-11-01T15:00:00Z,2025-11-01T17:30:00Z,2025-11-01T20:00:00Z,2025-11-02T14:00:00Z,2025-11-02T16:30:00Z,2025-11-03T20:00:00Z,2025-11-08T12:30:00Z,2025-11-08T15:00:00Z,2025-11-08T17:30:00Z,2025-11-08T20:00:00Z,2025-11-09T14:00:00Z,2025-11-09T16:30:00Z,2025-11-22T12:30:00Z,2025-11-22T15:00:00Z,2025-11-22T17:30:00Z,2025-11-23T14:00:00Z,2025-11-23T16:30:00Z,2025-11-24T20:00:00Z,2025-11-29T15:00:00Z,2025-11-29T17:30:00Z,2025-11-29T20:00:00Z,2025-11-30T12:00:00Z,2025-11-30T14:05:00Z,2025-11-30T16:30:00Z,2025-12-02T19:30:00Z,2025-12-02T20:15:00Z,2025-12-03T19:30:00Z,2025-12-03T20:15:00Z,2025-12-04T20:00:00Z,2025-12-06T12:30:00Z,2025-12-06T15:00:00Z,2025-12-06T17:30:00Z,2025-12-07T14:00:00Z,2025-12-07T16:30:00Z,2025-12-08T20:00:00Z,2025-12-13T15:00:00Z,2025-12-13T17:30:00Z,2025-12-13T20:00:00Z,2025-12-14T14:00:00Z,2025-12-14T16:30:00Z,2025-12-15T20:00:00Z,2025-12-20T12:30:00Z,2025-12-20T15:00:00Z,2025-12-20T17:30:00Z,2025-12-21T14:00:00Z,2025-12-21T16:30:00Z,2025-12-22T20:00:00Z,2025-12-27T15:00:00Z,total_pts,ppm
223094,MCI,Haaland,F,8.3,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,4.66,0.0,0.0,0.0,6.27,0.0,0.0,0.0,0.0,0.0,4.85,0.0,0.0,0.0,0.0,0.0,7.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,5.26,64.84,7.81
118748,LIV,M.Salah,F,7.7,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,5.22,0.0,0.0,0.0,4.77,0.0,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,5.07,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.28,6.92
154561,ARS,Raya,G,4.4,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,2.37,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,0.0,4.59,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,4.39,51.85,11.78
223340,ARS,Saka,M,6.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,4.01,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,0.0,4.46,0.0,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,4.23,51.28,8.55
219168,LIV,Isak,F,6.1,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,3.85,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,3.98,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,5.01,50.97,8.36
226597,ARS,Gabriel,D,4.5,0.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,3.79,0.0,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,4.21,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,4.01,50.01,11.11
141746,MUN,B.Fernandes,M,6.4,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,4.4,0.0,4.5,48.92,7.64
445122,ARS,J.Timber,D,4.3,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,3.46,0.0,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,4.02,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,3.73,47.24,10.99
231747,CRY,Mateta,F,4.2,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,2.94,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,4.91,46.9,11.17
448047,CHE,Enzo,M,4.3,3.04,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,3.81,0.0,0.0,3.27,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,3.61,46.69,10.86
