fpl_code,team,player,pos,cost,8,9,10,11,12,13,14,15,16,17,18,total_pts,ppm
223094,MCI,Haaland,F,7.9,16.34,12.26,16.24,7.11,14.75,8.72,7.08,17.5,7.09,9.27,7.72,124.08,15.71
118748,LIV,M.Salah,F,7.0,15.4,14.96,15.36,6.06,15.53,7.84,9.91,14.03,7.69,0.0,0.0,106.78,15.25
223340,ARS,Saka,M,6.1,13.55,12.92,13.04,7.59,13.16,5.38,6.72,11.13,6.62,5.56,6.16,101.83,16.69
219168,LIV,Isak,F,6.0,11.75,11.54,11.79,4.81,11.69,5.93,7.37,10.66,5.75,6.49,7.03,94.8,15.8
231747,CRY,Mateta,F,4.5,9.75,7.98,10.16,5.47,9.02,5.54,5.89,8.31,8.5,5.96,6.73,83.31,18.51
448047,CHE,Enzo,M,4.7,8.24,12.82,11.33,6.15,11.73,4.14,5.1,9.03,4.9,4.42,4.76,82.63,17.58
247348,CRY,Muñoz,D,5.6,10.79,6.81,10.25,5.0,9.19,5.13,6.14,8.62,8.61,5.4,5.46,81.4,14.54
226597,ARS,Gabriel,D,5.1,10.25,10.09,10.42,6.06,9.81,4.09,5.08,8.63,5.65,4.93,4.93,79.95,15.68
178301,AVL,Watkins,F,4.7,8.93,5.2,10.45,5.81,11.24,6.06,5.07,9.04,5.5,5.82,4.81,77.92,16.58
445122,ARS,J.Timber,D,5.0,10.15,9.61,10.19,5.91,9.7,3.88,4.97,8.19,5.26,4.64,4.68,77.17,15.43
475168,CHE,João Pedro,F,4.6,11.25,9.92,10.24,5.76,10.62,3.68,4.54,8.25,4.47,3.84,4.44,77.02,16.74
208706,NEW,Bruno G.,M,5.1,10.57,10.1,9.93,4.72,8.43,4.47,5.01,9.33,5.32,4.33,4.45,76.68,15.03
224117,ARS,Gyökeres,F,5.5,11.32,9.18,10.87,5.98,9.24,3.69,4.56,7.63,4.56,3.64,4.26,74.92,13.62
477424,MCI,Gvardiol,D,5.6,9.82,9.41,8.98,3.82,8.34,5.42,4.38,9.86,3.9,5.37,4.69,73.99,13.21
216094,LIV,Frimpong,D,4.5,9.45,7.26,9.51,3.43,9.78,4.96,6.16,8.71,4.63,4.44,5.65,73.97,16.44
243298,LIV,Gakpo,F,4.5,9.28,8.9,8.98,3.71,9.2,4.58,5.67,8.35,4.54,5.08,5.53,73.82,16.4
460842,TOT,Kudus,M,4.8,10.72,9.43,9.55,5.12,8.05,4.54,4.15,9.28,4.54,4.15,4.26,73.79,15.37
141746,MUN,B.Fernandes,M,5.7,5.98,7.04,6.73,6.98,6.69,6.35,7.42,6.7,6.42,6.4,6.48,73.21,12.84
209244,MCI,Foden,M,5.0,9.91,8.72,9.08,4.0,8.47,4.84,4.15,9.59,4.18,5.45,4.78,73.17,14.63
232185,CRY,Sarr,M,4.3,10.41,8.47,10.14,5.65,9.36,5.71,5.96,8.59,8.85,0.0,0.0,73.15,17.01
462424,ARS,Saliba,D,5.3,9.35,8.93,9.44,5.61,8.84,3.67,4.65,7.78,4.99,4.53,4.49,72.29,13.64
97032,LIV,Virgil,D,5.0,8.75,8.36,8.91,3.15,9.26,4.66,5.98,8.28,4.45,4.19,5.44,71.42,14.28
179268,CHE,Cucurella,D,4.6,9.35,10.76,8.0,5.37,9.61,3.65,4.71,7.1,4.6,3.49,4.26,70.91,15.41
204480,ARS,Rice,M,4.8,9.12,8.94,9.3,5.32,9.02,3.82,4.36,7.96,4.3,3.95,4.2,70.29,14.64
232413,ARS,Eze,M,5.1,8.54,10.04,8.97,5.71,8.6,3.77,4.6,6.78,4.55,3.82,4.2,69.58,13.64
232826,NEW,Gordon,M,4.9,9.65,9.76,9.19,4.09,7.2,3.72,4.35,8.14,4.56,4.27,4.35,69.3,14.14
441164,TOT,Pedro Porro,D,5.0,9.44,8.26,8.52,4.94,6.92,4.95,3.76,9.0,4.65,3.52,3.84,67.8,13.56
243016,LIV,Mac Allister,M,3.9,8.6,8.08,8.17,3.61,8.08,4.34,5.17,7.93,4.32,4.74,4.76,67.8,17.38
424876,LIV,Szoboszlai,M,4.5,8.63,8.0,8.27,3.45,8.08,4.25,5.14,7.85,4.1,4.52,4.74,67.03,14.9
154561,ARS,Raya,G,4.8,7.78,7.11,7.94,4.99,7.64,3.98,4.71,6.95,4.99,4.52,4.49,65.1,13.56
432422,NEW,Tonali,M,4.7,8.41,8.03,8.38,4.06,7.4,3.85,4.38,8.03,4.48,3.76,3.87,64.66,13.76
244850,AVL,Rogers,M,4.8,9.34,4.17,8.39,4.62,8.88,4.74,4.18,7.52,4.42,4.53,3.84,64.63,13.46
244723,CRY,Mitchell,D,4.7,7.63,5.45,7.49,4.21,7.24,4.27,5.26,6.57,6.41,4.49,4.25,63.27,13.46
488024,CRY,Yeremy,M,3.4,8.23,4.94,7.89,3.96,7.25,3.9,4.15,6.92,7.1,4.21,4.53,63.09,18.56
209036,CRY,Guéhi,D,4.6,7.66,5.05,7.58,4.12,7.19,4.25,5.32,6.71,6.35,4.56,4.22,63.01,13.7
247632,CHE,Neto,M,3.8,5.62,8.71,8.84,4.98,9.03,3.23,3.95,7.23,3.8,3.51,3.95,62.85,16.54
437499,CRY,Lacroix,D,4.0,7.77,5.0,7.56,4.03,7.16,4.12,5.11,6.67,6.49,4.4,4.14,62.46,15.61
470313,NEW,Woltemade,F,4.2,8.99,7.98,7.85,3.89,5.71,3.46,4.08,6.81,4.36,4.57,4.7,62.4,14.86
493362,TOT,Xavi,M,4.4,9.27,6.68,8.65,4.28,6.65,3.96,3.47,7.95,3.82,3.51,3.64,61.87,14.06
178186,WHU,Bowen,F,5.3,6.42,5.91,5.56,6.76,5.29,5.13,5.48,5.44,5.6,4.61,5.53,61.73,11.65
494595,LIV,Wirtz,M,5.3,5.2,5.06,7.92,3.41,8.27,4.22,5.09,7.86,3.99,4.93,5.31,61.25,11.56
437730,BOU,Semenyo,M,4.9,5.46,5.95,4.69,5.09,6.03,6.41,5.41,5.04,5.09,6.48,5.43,61.1,12.47
486672,CHE,Caicedo,M,4.7,4.8,8.87,8.26,4.31,8.39,3.55,4.08,7.31,3.84,3.64,3.69,60.75,12.93
441266,LIV,Gravenberch,M,4.4,8.01,7.18,7.55,3.36,7.16,3.8,4.31,7.15,3.63,3.78,3.94,59.86,13.6
180974,NEW,Joelinton,M,3.7,5.75,8.11,7.77,3.88,6.7,3.51,4.08,7.11,4.34,3.56,3.8,58.61,15.84
433036,MCI,Reijnders,M,4.5,7.97,5.88,7.48,3.57,7.04,3.88,3.44,7.55,3.51,3.97,3.65,57.93,12.87
204716,LIV,Konaté,D,4.5,6.12,7.05,7.46,2.65,7.65,3.93,4.89,6.79,3.55,3.24,4.1,57.43,12.76
592031,BHA,Minteh,M,4.0,5.26,7.4,5.51,4.76,5.21,4.79,4.84,5.47,4.19,5.96,3.63,57.03,14.26
204936,MCI,Donnarumma,G,3.7,6.85,6.0,6.84,3.5,6.05,4.64,3.9,7.18,3.52,4.37,4.04,56.89,15.37
430871,MUN,Cunha,F,4.4,4.64,5.43,5.19,5.28,5.16,4.71,5.64,5.19,5.24,4.95,5.28,56.71,12.89
98747,NEW,Pope,G,4.3,6.4,6.59,6.7,3.75,6.11,4.04,4.04,7.23,4.31,3.82,3.64,56.63,13.17
154566,TOT,Solanke,F,4.5,2.68,6.94,8.32,4.3,6.77,4.06,3.67,8.47,3.98,3.68,3.76,56.63,12.59
215136,NFO,N.Williams,D,3.3,7.84,3.49,6.6,4.98,6.01,4.2,4.55,7.23,4.19,4.02,3.45,56.57,17.14
451340,BHA,Mitoma,M,3.7,3.59,8.51,5.54,4.78,5.29,4.78,4.86,5.37,4.05,6.09,3.61,56.48,15.26
171314,MCI,Rúben,D,4.0,7.9,5.99,7.03,2.99,6.28,4.26,3.45,7.52,3.08,4.09,3.66,56.25,14.06
222531,NFO,Gibbs-White,M,4.1,7.51,4.11,6.95,4.45,6.46,4.12,4.1,6.31,4.27,3.63,3.53,55.44,13.52
427623,CRY,Richards,D,4.1,6.64,4.73,6.56,3.71,6.18,3.75,4.7,5.57,5.47,4.08,3.8,55.2,13.46
